Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
Brunei Darussalam,BRN,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,3500.0,3700.0,3600.0,3400.0,3500.0,3600.0,4400.0,4400.0,5100.0,6700.0,9600.0,11800.0,12200.0,13600.0,13600.0,16200.0009765625,12739.0,12237.0,11953.0,11812.0,13322.0,11808.0,12381.0,12128.0,13071.0,12274.0,12333.0,11672.0,10374.0,10920.0,10392.0,11624.0,11058.0,10743.0,11310.0,14091.0,4233.0,1186.0,,
Bhutan,BTN,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,600.0,600.0,600.0,600.0,600.0,600.0,900.0,900.0,1000.0,1000.0,1100.0,1138.0,1297.0,1948.0,1890.0,2306.0,2467.0,2566.0,2720.0,2772.0,2706.0,3053.39992695398,4146.03177501826,3553.0,5820.0,8772.0,4640.0,6065.0,4215.0,5187.0,5067.0,1311.0,696.0,,
Botswana,BWA,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,1600.0,2700.0,2600.0,2600.0,2600.0,2800.0,3500.0,3300.0,4300.0,4600.0,4900.0,5800.0,6700.0,6300.0,3800.0,3600.0,4000.0,4200.0,4900.0,5400.0,5900.0,6703.0,7138.0,7304.0,7214.0,7885.0,8181.0,6905.0,7366.0,6105.0,6142.0,7681.0,7910.25856004678,8422.23447986064,9396.0,8304.0,7741.0,7933.0,7002.0,6774.0,6533.0,,2593.0,,
Central African Republic,CAF,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,3600.0,3600.0,3300.0,3400.0,3400.0,3700.0,3900.0,3800.0,4100.0,4200.0,4300.0,4000.0,4200.0,4100.0,4200.0,4300.0,4300.0,4300.0,4400.0,4400.0,3800.0,4500.0,1100.0,1300.0,1300.0,1300.0,1500.0,1500.0,1500.0,1500.0,1518.0,716.0,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,305200.0,292500.0,291400.0,348900.0,371900.0,363800.0,352900.0,348000.0,349200.0,357700.0,382000.0,383600.0,344000.0,325300.0,343600.0,351900.0,343000.0,333800.0,380900.0,370200.0,346800.0,257800.0,258700.0,243700.0,253500.0,282800.0,305800.0,310800.0,317800.0,319600.0,963468.0,982013.0,263906.0,1036092.0,988755.0,1018480.0,1042100.0,1188947.0,1200361.0,1198381.0,1234528.61925597,1245743.61579713,1280198.18557714,1263297.33686341,1290419.0,1322033.0,1359442.0,1443818.0,1250460.0,1215983.0,511637.0,571070.076,,
Central Europe and the Baltics,CEB,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,72700.0,88900.0,100300.0,105300.0,110900.0,120200.0,140700.0,143100.0,142900.0,150900.0,142600.0,119000.0,103300.0,118200.0,127900.0,127300.0,133300.0,133000.0,130000.0,133200.0,129000.0,93800.0,116900.0,143800.0,151200.0,158500.0,167200.0,183500.0,188200.0,205200.0,220821.0,237439.0,235443.0,268637.0,314685.0,347743.0,363872.0,397337.0,415443.0,405656.0,459987.605461649,458432.212389811,409115.831651127,407489.0,414473.868,420199.0,436849.0,484988.0,549291.0,566402.0,235446.363,275557.0,,
Switzerland,CHE,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,84600.0,86500.0,83100.0,85700.0,87700.0,89500.0,89300.0,90500.0,93600.0,95300.0,97700.0,95900.0,109200.0,111400.0,111600.0,115800.0,122200.0,122700.0,132000.0,145900.0,152100.0,150800.0,157600.0,168900.0,174900.0,191200.0,218200.0,220800.0,250300.0,276300.0,289031.0,284899.0,242800.0,189121.0,144703.0,134839.0,125126.0,139124.0,158788.0,168280.0,224807.0,244994.0,257233.254295533,266128.0,263267.0,250094.0,229530.0,216436.0,219782.0,225755.0,81283.2,96369.999,,
Channel Islands,CHI,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,24900.0,27000.0,24800.0,21200.0,21500.0,16600.0,14300.0,14800.0,14100.0,12500.0,13700.0,18300.0,20700.0,19200.0,20100.0,25300.0,26300.0,29000.0,35300.0,36000.0,40100.0,36600.0,48200.0,58600.0,68800.0,77800.0,93700.0,109300.0,119100.0,92500.0,87945.0,82942.0,78187.0,82789.0,86140.0,93003.0,94770.0,101008.0,108565.0,97473.0,108840.0,123739.0,125120.0,127631.0,124480.0,116532.0,116238.0,124316.0,134661.0,143964.0,72839.0,95001.0,,
China,CHN,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,,,,,21200.0,26600.0,27700.0,28800.0,34000.0,63000.0,51000.0,57300.0,69800.0,74000.0,92500.0,102200.0,127900.0,159700.0,176900.0,159200.0,196000.0,190300.0,200300.0,261600.0,325900.0,397600.0,493000.0,470200.0,510500.0,547800.0,572921.0,840911.0,932064.0,946354.0,1209900.0,1349269.0,1542564.0,1753550.0,1853088.0,2140124.0,2377789.0,2538667.0,2779741.0,3073450.0,3356756.0,3616026.0,3952098.0,4359033.0,4692008.0,4963752.0,3667920.0,3906386.0,,
Cote d'Ivoire,CIV,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,4300.0,3900.0,3800.0,4000.0,4000.0,4600.0,4900.0,4900.0,5100.0,5200.0,5600.0,10300.0,10400.0,10400.0,10700.0,6100.0,6100.0,6700.0,7100.0,5600.0,5400.0,4900.0,5000.0,4600.0,4300.0,4400.0,4600.0,3500.0,3500.0,6300.0,2342.0,716.0,,,,,,,,,5604.0,907.0,415.0,3912.0,4032.0,9068.0,9463.0,14884.0,14666.0,16616.0,8030.0,11812.0,,
Cameroon,CMR,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,3800.0,2800.0,2300.0,4000.0,0.0,3700.0,0.0,7200.0,6500.0,10000.0,8300.0,8400.0,8500.0,8200.0,8100.0,8200.0,6100.0,6200.0,6200.0,9700.0,7100.0,7000.0,4100.0,4100.0,4200.0,3800.0,3800.0,6500.0,6600.0,5400.0,5580.0,10103.0,4720.0,9524.0,10337.0,10696.0,10925.0,11650.0,9471.0,9501.0,0.0,3036.0,4938.0,5640.0,5640.0,5499.0,8212.0,5640.0,5550.0,2336.0,1169.0,5017.0,,
"Congo, Dem. Rep.",COD,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,8300.0,7900.0,8100.0,8900.0,12000.0,19200.0,18600.0,15800.0,14100.0,13600.0,11800.0,12200.0,9200.0,7400.0,7600.0,3900.0,5000.0,5200.0,4500.0,4800.0,5100.0,3500.0,3000.0,2600.0,3900.0,,,,,,,5200.0,,,,,,,,,1945.0,2295.0,4781.0,11448.0,11580.0,12476.0,11513.0,18757.0,8271.0,7532.0,3787.864,4874.098,,
